because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
couple_NN,0.040211363,,,,,couple_NN,FALSE,,,,,i'll_PPSS,0.182938787,,,,,,,,,,,,,,,,
student_NN,0.040000466,,,,,student_NN,FALSE,,,,,kids_NNS,0.181452079,,,,,,,,,,,,,,,,
spend_VB,0.037482759,,,,,spend_VB,FALSE,,,,,banks_NNS,0.181353809,,,,,,,,,,,,,,,,
ability_NN,0.037010573,,,,,ability_NN,FALSE,,,,,workers_NNS,0.181265468,,,,,,,,,,,,,,,,
economic_JJ,0.036231182,,,,,economic_JJ,FALSE,,,,,invest_VB,0.181004939,,,,,,,,,,,,,,,,
buy_VB,0.036169795,,,,,buy_VB,FALSE,,,,,stay_VB,0.178884042,,,,,,,,,,,,,,,,
drugs_NNS,0.035219509,,,,,drugs_NNS,FALSE,,,,,started_VBD,0.178103691,,,,,,,,,,,,,,,,
spirit_NN,0.034152627,,,,,spirit_NN,FALSE,,,,,saw_VBD,0.177304403,,,,,,,,,,,,,,,,
thought_VBD,0.033730042,,,,,thought_VBD,FALSE,,,,,said_VBD,0.176729018,,,,,,,,,,,,,,,,
it_PPS,0.033477357,,,,,it_PPS,FALSE,,,,,work_NN,0.17603897,,,,,,,,,,,,,,,,
500_CD,0.030574538,,,,,500_CD,FALSE,,,,,generation_NN,0.175642503,,,,,,,,,,,,,,,,
person_NN,0.030189868,,,,,person_NN,FALSE,,,,,months_NNS,0.175102112,,,,,,,,,,,,,,,,
question_NN,0.028605314,,,,,question_NN,FALSE,,,,,wealthy_JJ,0.172277874,,,,,,,,,,,,,,,,
second_OD,0.027809611,,,,,second_OD,FALSE,,,,,million_CD,0.171920147,,,,,,,,,,,,,,,,
resources_NNS,0.0258529,,,,,resources_NNS,FALSE,,,,,skills_NNS,0.170867414,,,,,,,,,,,,,,,,
each_DT,0.025697275,,,,,each_DT,FALSE,,,,,wants_VBZ,0.170706967,,,,,,,,,,,,,,,,
worker_NN,0.025645476,,,,,worker_NN,FALSE,,,,,know_VB,0.169891399,,,,,,,,,,,,,,,,
won't_MD,0.025639929,,,,,won't_MD,FALSE,,,,,philosophy_NN,0.169563564,,,,,,,,,,,,,,,,
take_VB,0.024173688,,,,,take_VB,FALSE,,,,,move_VB,0.168886142,,,,,,,,,,,,,,,,
had_HVD,0.023694788,,,,,had_HVD,FALSE,,,,,grow_VB,0.168173263,,,,,,,,,,,,,,,,
restore_VB,0.021886492,,,,,restore_VB,FALSE,,,,,states_NNS,0.167469258,,,,,,,,,,,,,,,,
times_NNS,0.021863699,,,,,times_NNS,FALSE,,,,,standing_VBG,0.167211213,,,,,,,,,,,,,,,,
clean_JJ,0.021150626,,,,,clean_JJ,FALSE,,,,,giving_VBG,0.166136566,,,,,,,,,,,,,,,,
half_ABN,0.020745924,,,,,half_ABN,FALSE,,,,,passed_VBD,0.164886205,,,,,,,,,,,,,,,,
four_CD,0.02041363,,,,,four_CD,FALSE,,,,,romney_NN,0.163619961,,,,,,,,,,,,,,,,
choice_NN,0.020144492,,,,,choice_NN,FALSE,,,,,building_VBG,0.162557356,,,,,,,,,,,,,,,,
feel_VB,0.018422088,,,,,feel_VB,FALSE,,,,,uniform_NN,0.160899399,,,,,,,,,,,,,,,,
poverty_NN,0.018182017,,,,,poverty_NN,FALSE,,,,,community_NN,0.160216768,,,,,,,,,,,,,,,,
tax_NN,0.017727134,,,,,tax_NN,FALSE,,,,,i've_PPSS,0.159949272,,,,,,,,,,,,,,,,
a_AT,0.016004487,,,,,a_AT,FALSE,,,,,outstanding_JJ,0.159143487,,,,,,,,,,,,,,,,
job_NN,0.015030145,,,,,job_NN,FALSE,,,,,worked_VBD,0.158461518,,,,,,,,,,,,,,,,
crisis_NN,0.013773536,,,,,crisis_NN,FALSE,,,,,pay_VB,0.157649824,,,,,,,,,,,,,,,,
at_IN,0.013690605,,,,,at_IN,FALSE,,,,,talking_VBG,0.156970777,,,,,,,,,,,,,,,,
lose_VB,0.011738163,,,,,lose_VB,FALSE,,,,,fighting_VBG,0.156174534,,,,,,,,,,,,,,,,
training_NN,0.010883541,,,,,training_NN,FALSE,,,,,say_VB,0.155945752,,,,,,,,,,,,,,,,
open_VB,0.008874643,,,,,open_VB,FALSE,,,,,street_NN,0.155762098,,,,,,,,,,,,,,,,
since_CS,0.008554607,,,,,since_CS,FALSE,,,,,investments_NNS,0.155714216,,,,,,,,,,,,,,,,
differences_NNS,0.006403645,,,,,differences_NNS,FALSE,,,,,got_VBN,0.155161958,,,,,,,,,,,,,,,,
send_VB,0.005295939,,,,,send_VB,FALSE,,,,,means_VBZ,0.153551494,,,,,,,,,,,,,,,,
middle-class_NN,0.003790285,,,,,middle-class_NN,FALSE,,,,,recession_NN,0.152046366,,,,,,,,,,,,,,,,
without_IN,0.003693307,,,,,without_IN,FALSE,,,,,renewable_JJ,0.151303761,,,,,,,,,,,,,,,,
was_BEDZ,0.003112286,,,,,was_BEDZ,FALSE,,,,,lobbyists_NNS,0.151265962,,,,,,,,,,,,,,,,
